,genre,sub_genre,artist,album,song
0,Jazz,Fusion,Auracle,City Slickers,Bombs Away Ballet
1,Jazz,Fusion,Auracle,City Slickers,City of Penetrating Light
2,Jazz,Fusion,Auracle,City Slickers,Honey
3,Jazz,Fusion,Auracle,City Slickers,Little City Slickers
4,Jazz,Fusion,Auracle,City Slickers,Rotary Andy's Raggedy
5,Jazz,Fusion,Auracle,City Slickers,Sambanana
6,Jazz,Fusion,Auracle,City Slickers,Tied Shoes
7,Pop,Soft Rock,B.J. Thomas,Rain Drops Keep Fallin' On My Head,Rain Drops Keep Falling on My Head
8,Jazz,Fusion,Casiopea,Crosspoint,Galactic Funk
9,Jazz,Fusion,Casiopea,Mint Jams,Swear!
10,Metal,Gothic,Draconian,Turning Season Within,The Empy Stare / September Ashes
11,Disco,Funk,Flamingosis,A Groovy Thing,A Groovy Intro
12,Disco,Funk,Flamingosis,A Groovy Thing,A Groovy Thing
13,Disco,Funk,Flamingosis,A Groovy Thing,Breezy
14,Disco,Funk,Flamingosis,A Groovy Thing,Come & Get it
15,Disco,Funk,Flamingosis,A Groovy Thing,Don’t Lose the Feeling
16,Disco,Funk,Flamingosis,A Groovy Thing,Flute Salad
17,Disco,Funk,Flamingosis,A Groovy Thing,Get Yourself Together
18,Disco,Funk,Flamingosis,A Groovy Thing,Guilty Pleasure
19,Disco,Funk,Flamingosis,A Groovy Thing,High Tide
20,Disco,Funk,Flamingosis,A Groovy Thing,Keep Shining
21,Disco,Funk,Flamingosis,A Groovy Thing,Long Distance
22,Disco,Funk,Flamingosis,A Groovy Thing,Never Felt a Feeling Like This
23,Disco,Funk,Flamingosis,A Groovy Thing,Not Like the Others
24,Disco,Funk,Flamingosis,A Groovy Thing,Otaku Mode
25,Disco,Funk,Flamingosis,A Groovy Thing,Persevere
26,Disco,Funk,Flamingosis,A Groovy Thing,Soul Crusade
27,Disco,Funk,Flamingosis,A Groovy Thing,That’s Cold
28,Disco,Funk,Flamingosis,A Groovy Thing,Want Me (Need Me)
29,Funk,Pop,François Valéry,Mon pote le DJ,Mon pote le DJ
30,Jazz,Electronica,GoGo Penguin,Man Made Object,Unspeakable Word
31,Electro,Alternative,Gorillaz,Plastic Beach,Pirate's Progress
32,Metal,Progressive,Haken,Affinity,affinity.exe / Initiate
33,Rock,Folk,Happy End,Kazemachi Roman,Aiga wo
34,Rock,Folk,Happy End,Kazemachi Roman,Ashita tenki ni Naare
35,Rock,Folk,Happy End,Kazemachi Roman,Dakishimetai
36,Rock,Folk,Happy End,Kazemachi Roman,Haikara Beautiful
37,Rock,Folk,Happy End,Kazemachi Roman,Haikara Hakuchi
38,Rock,Folk,Happy End,Kazemachi Roman,Hanaichimonme
39,Rock,Folk,Happy End,Kazemachi Roman,Haru Ranman
40,Rock,Folk,Happy End,Kazemachi Roman,Kaze wo Atsumete
41,Rock,Folk,Happy End,Kazemachi Roman,Kurayamizaka Musasabi Henka
42,Rock,Folk,Happy End,Kazemachi Roman,Natsu nandesu
43,Rock,Yodel,Happy End,Kazemachi Roman,Sorairo no Crayon
44,Rock,Folk,Happy End,Kazemachi Roman,Taifuu
45,Traditional,Folk,Incantation,Pan Pipes of the Andes,Cacharpaya
46,Jazz,Fusion,Jun Fukamachi,Quark,Desillusion
47,Jazz,Fusion,Jun Fukamachi,Quark,Insight
48,Jazz,Fusion,Jun Fukamachi,Quark,Perpetual (Movement)
49,Jazz,Fusion,Jun Fukamachi,Quark,Quark
50,OST,Drum & Bass,Kelly Bailey,Half Life 2,CP Violation
51,Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,The Vibe
