genre,sub_genre,artist,album,song,ntQ,ntG,ntV,ntR,ntS,ntGl,ntRx,ntC,ntL
Pop,Disco,Abba,Abba,"I do, I do, I do, I do, I do",8,"8,5",5,8,,,,,5
Pop,Disco,Abba,Abba,Mamma Mia,"8,5","8,75","6,5","8,3",,6,,,
Pop,Disco,Abba,Abba,SOS,9,9,7,"8,4",,"6,25",,,
Pop,Disco,Abba,Arrival,"Knowing me, knowing you","7,5","8,5","5,5","6,5",,,,,
Pop,Disco,Abba,Super Trouper,Lay all your love on me,8,"8,5",4,"8,5",,,,,
Pop,Disco,Abba,Super Trouper,Super Trouper,8,9,"6,5","7,1",,,,,
Pop,Disco,Abba,Super Trouper,The winner takes it all,"8,75",9,"6,5","8,3",,"6,77",,,
Pop,Disco,Abba,The Album,Take a chance on me,"8,75","8,75",7,"6,8",,,,,
Pop,Disco,Abba,Waterloo,Waterloo,"7,75","8,5",6,"8,3",,"6,5",,,
Rock,Hard Rock,AC/DC,High Voltage,T.N.T.,"8,25",,8,8,,,,,
Rock,Hard Rock,AC/DC,Highway to Hell,Highway to Hell,"8,5",,"6,5","8,1",,,,,
Metal,Grunge,Alice in Chains,Dirt,Angry Chair,"8,5",9,7,,,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Dam That River,7,9,6,,,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Dirt,7,"8,5","7,5",,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Down In a Hole,"6,5","7,5","7,5",,,"7,5",,,
Metal,Grunge,Alice in Chains,Dirt,God Smack,"6,5",8,"6,5",,,7,,,
Metal,Grunge,Alice in Chains,Dirt,Hate to feel,8,7,"7,5",,,"8,75",,,
Metal,Grunge,Alice in Chains,Dirt,Junkhead,"6,5","6,5",6,,,"7,75",,,
Metal,Grunge,Alice in Chains,Dirt,Rain when I die,"7,5",7,6,,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Rooster,8,"8,5","8,5",,,8,,,
Metal,Grunge,Alice in Chains,Dirt,Sickman,"7,5",7,5,,,"7,25",,,
Metal,Grunge,Alice in Chains,Dirt,Them Bones,"7,5",9,"6,5",,,7,,,
Metal,Grunge,Alice in Chains,Dirt,Untitled,7,6,"5,5",,,"7,5",,,
Metal,Grunge,Alice in Chains,Dirt,Would?,"7,5","8,5",8,,,7,,,
Rap,,"Alkapote, Vald",N/A,Plus haut - Les marches de l'empeureur Saison 3 / épisode 1,7,,7,,,"7,5",,,8
Rock,Indie,alt-J,An Awesome Wave,Breezeblocks,"8,25",,,,,,,,
Metal,Melodic Death,Amon Amarth,Berserker,Crack the Sky,"8,5","8,5","6,5",,,,,,
Metal,Melodic Death,Amon Amarth,Berserker,Raven's Flight,"8,5","8,5","8,5",,,,,,
Metal,Melodic Death,Amon Amarth,Fate of Norns,The Pursuit Of Vikings,"8,25","8,5","6,5",9,,,,,
Metal,Melodic Death,Amon Amarth,Jomsviking,Raise Your Horns,9,9,"6,5","8,75",,,,,
Metal,Death Metal,Amon Amarth,The Crusher,Masters Of War,"7,5",,,,,,,,
Metal,Melodic Death,Amon Amarth,Twilight Of The Thunder God,Twilight Of The Thunder God,9,"8,75",,9,,,,,
Rock,Indie,Andrew Bird,"Things Are Really Great Here, Sort Of…",Tin Foiled,6,,,,,,,,
Metal,Melodic Death,Arch Enemy,Anthems of Rebellion,Silent Wars,"7,5",,,,,,,,
Metal,Melodic Death,Arch Enemy,Will to Power,First Day in Hell,8,?,,,,,,,
Metal,Melodic Death,Arch Enemy,Will To Power,Saturnine,5,,,,,,,,
Rock,Hard Rock,Audioslave,Audioslave,Show Me How to Live,"9,25","7,75",?,?,,,,?,
Metal,Alt Metal,Audioslave,Out of Exile,#1 Zero,"8,75",?,?,?,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Bombs Away Ballet,"8,25",,8,,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,City of Penetrating Light,"7,75",,8,,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Honey,"7,75",,8,,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Little City Slickers,"8,25",,7,,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Rotary Andy's Raggedy,"8,75",,8,,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Sambanana,"7,25",,"8,25",,,,,,
Jazz,Jazz Fusion,Auracle,City Slickers,Tied Shoes,8,,8,,,,,,
Pop,Soft Rock,B.J. Thomas,Rain Drops Keep Fallin' On My Head,Rain Drops Keep Falling on My Head,"8,75",,9,,,"8,25",,,
Metal,Power Metal,Battle Beast,Bringer of Pain,King For A Day,"8,75",,,"9,7",,,,,
Soul,,Bill Withers,Just as I am,Ain't No Sunshine,"8,75",,9,,,"8,75",8,,
Rock,Punk,Billy Talent,Billy Talent II,Fallen Leaves,8,,,,,,,,
Rock,Punk,Billy Talent,Billy Talent II,Red Flag,"8,25",,7,?,,,,?,
Metal,Stoner,Black Sabbath,Black Sabbath,Behind the Wall of Sleep,"7,75",,,,,,,,
